title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,flag,genero pai,decade
Sacrifice,Elton John,glam rock,1989,113,42,76,-13,4,49,304,2,3,74,True,rock,80s
SOS,Rihanna,barbadian pop,2006,137,67,68,-5,41,53,239,0,4,57,True,pop,00s
SOS,ABBA,europop,1975,125,71,42,-6,29,58,202,25,3,61,True,pop,70s
Runaround Sue - Remastered 1991,Dion,adult standards,2001,159,49,45,-12,49,65,160,30,12,55,True,adult standards,00s
Run To You,Bryan Adams,album rock,1984,127,81,56,-6,29,64,233,1,3,67,True,rock,80s
Run This Town,JAY-Z,east coast hip hop,2009,87,92,63,-2,26,44,268,28,29,74,True,hip hop,00s
Rude Boy,Rihanna,barbadian pop,2009,174,75,56,-4,8,81,223,11,13,75,True,pop,00s
Rude,MAGIC!,reggae fusion,2014,144,76,77,-5,31,93,225,4,4,80,True,reggae,10s
Rosanna,TOTO,album rock,1982,81,51,37,-13,21,74,331,2,4,72,True,rock,80s
Rolling in the Deep,Adele,british soul,2011,105,77,73,-5,5,51,228,14,3,82,True,soul,10s
Roll Over Beethoven,Chuck Berry,blues rock,1959,93,80,72,-10,21,84,145,84,19,60,True,rock,50s
Rockin' Robin,Bobby Day,doo-wop,1958,172,61,54,-13,23,94,160,30,11,62,True,r&b,50s
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,glam rock,1972,137,53,60,-9,9,34,282,43,3,81,True,rock,70s
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2016,102,76,72,-4,18,74,251,41,5,76,True,pop,10s
Rock the Boat,Hues Corporation,classic uk pop,1974,107,71,62,-9,6,73,189,6,7,51,True,pop,70s
Rock Your Body,Justin Timberlake,dance pop,2002,101,71,89,-6,5,82,267,20,14,76,True,pop,00s
Rock Your Baby,George McCrae,disco,2001,104,77,59,-11,7,95,201,31,4,53,False,disco,00s
Rock And Roll Music,Chuck Berry,blues rock,1958,165,77,53,-6,7,87,152,42,4,52,True,rock,50s
Roar,Katy Perry,dance pop,2013,90,77,67,-5,35,44,224,0,3,76,True,pop,10s
River Deep - Mountain High,Ike & Tina Turner,brill building pop,1966,83,75,39,-7,14,27,215,78,4,60,True,pop,60s
Rip It Up,Little Richard,adult standards,1957,96,64,90,-6,2,97,141,67,6,53,True,adult standards,50s
Ring of Fire,Johnny Cash,arkansas country,1963,104,59,66,-8,35,78,158,62,3,70,True,country,60s
Right Round,Flo Rida,dance pop,2009,125,67,72,-7,23,71,205,1,6,74,True,pop,00s
Right Down the Line,Gerry Rafferty,album rock,1978,128,32,78,-15,11,77,268,21,3,66,True,rock,70s
Respect,Aretha Franklin,classic soul,1967,115,56,81,-5,5,97,148,16,4,73,True,soul,60s
Rescue Me,Fontella Bass,brill building pop,1966,123,54,68,-9,10,96,171,67,3,67,True,pop,60s
Replay,Iyaz,dance pop,2009,91,75,71,-6,17,20,182,17,7,76,True,pop,00s
Relight My Fire (feat. Lulu),Take That,boy band,1993,123,94,65,-7,10,92,252,4,5,60,False,boy band,90s
Rehab,Amy Winehouse,british soul,2006,72,56,41,-14,34,78,215,5,6,74,True,soul,00s
Reet Petite,Jackie Wilson,adult standards,1958,84,66,66,-7,30,87,169,45,13,60,True,adult standards,50s
Reelin' In The Years,Steely Dan,album rock,1972,135,76,52,-10,10,77,277,13,4,71,True,rock,70s
Red River Rock,Johnny & The Hurricanes,rock-and-roll,1959,151,94,34,-5,18,78,138,66,10,42,True,rock,50s
Rebel Rouser,Duane Eddy,adult standards,1965,206,43,39,-12,73,87,154,79,4,51,True,adult standards,60s
Ready Teddy,Little Richard,adult standards,1957,206,68,53,-6,10,97,127,67,19,48,True,adult standards,50s
Reach Out I'll Be There - Single Version / Mono,Four Tops,adult standards,1993,120,54,62,-10,10,77,178,33,3,58,True,adult standards,90s
