title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,flag,genero pai,decade
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,77,-4,13,39,217,18,3,81,True,pop,10s
Hate That I Love You,Rihanna,barbadian pop,2008,94,73,64,-5,10,73,219,32,9,69,True,pop,00s
Hard to Handle,Otis Redding,classic soul,2018,96,55,67,-9,12,96,141,57,6,63,True,soul,10s
Happier,Ed Sheeran,pop,2017,90,39,52,-7,14,24,208,54,3,82,True,pop,10s
Halo,Beyoncé,dance pop,2008,80,72,51,-6,6,47,262,27,6,77,True,pop,00s
"Hallelujah, I Love Her So",Ray Charles,adult standards,1957,73,55,70,-6,16,62,156,79,17,63,True,adult standards,50s
Hall of Fame (feat. will.i.am),The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,80,True,rock,10s
Grenade,Bruno Mars,dance pop,2010,110,56,71,-7,12,23,223,15,6,78,True,pop,10s
Green Green Grass Of Home,Tom Jones,adult standards,1967,95,41,54,-13,10,82,185,16,3,62,True,adult standards,60s
Great Balls Of Fire,Jerry Lee Lewis,adult standards,1961,79,73,53,-7,16,88,112,56,7,64,True,adult standards,60s
Grease - 2007 Remaster,Frankie Valli,adult standards,1978,109,46,82,-8,10,87,207,16,5,64,True,adult standards,70s
Grace Kelly,MIKA,europop,2006,122,83,68,-6,36,67,188,2,5,72,True,pop,00s
Got My Mind Set On You - Remastered 2004,George Harrison,album rock,1987,149,85,77,-7,49,96,235,47,4,72,True,rock,80s
"Goodnight, Sweetheart, Goodnight",The Spaniels,doo-wop,2008,73,19,58,-16,14,39,160,50,4,44,True,r&b,00s
Goodbye Yellow Brick Road - Remastered 2014,Elton John,glam rock,1973,121,47,56,-8,15,40,193,45,3,73,True,rock,70s
Good Vibrations - Remastered 2001,The Beach Boys,baroque pop,2006,133,50,40,-7,15,38,218,39,3,63,True,pop,00s
Good Time,Owl City,indietronica,2012,126,87,56,-4,37,68,206,2,14,78,True,indie,10s
Good Thing,Fine Young Cannibals,art rock,1988,165,59,75,-10,4,89,202,7,3,65,True,rock,80s
Good Lovin' - Single Version,The Young Rascals,brill building pop,1966,196,51,25,-13,33,82,151,0,4,58,True,pop,60s
"Good Golly, Miss Molly",Little Richard,adult standards,2008,164,86,57,-11,31,91,129,58,5,48,True,adult standards,00s
Gold Digger,Kanye West,chicago rap,2005,93,70,63,-6,6,62,208,2,35,78,True,rap,00s
God Only Knows - Mono / Remastered,The Beach Boys,baroque pop,1966,117,49,52,-8,6,48,173,25,3,69,True,pop,60s
Go Your Own Way - 2004 Remaster,Fleetwood Mac,album rock,1977,135,95,58,-5,7,80,224,2,4,75,True,rock,70s
Glory of Love,Peter Cetera,adult standards,1986,145,59,52,-8,31,31,258,8,3,72,True,adult standards,80s
Glory Days,Bruce Springsteen,classic rock,1984,117,96,57,-5,12,98,255,5,3,70,True,rock,80s
Gloria (feat. Van Morrison) - Stereo Version,Them,blues rock,2015,129,70,64,-10,10,72,157,40,5,63,True,rock,10s
Gloria,Laura Branigan,new romantic,1982,131,74,78,-7,15,84,290,11,3,65,False,new romantic,80s
Glamorous,Fergie,dance pop,2006,131,76,81,-6,10,56,247,30,23,62,True,pop,00s
Glad You Came,The Wanted,boy band,2011,127,85,72,-4,11,45,198,3,6,76,False,boy band,10s
Gives You Hell,The All-American Rejects,modern rock,2008,100,69,72,-6,6,55,213,2,4,70,True,rock,00s
Give It Up,KC & The Sunshine Band,disco,2016,125,62,86,-12,5,88,254,2,6,67,False,disco,10s
Give A Little Bit,Supertramp,album rock,1977,91,82,53,-5,26,47,248,7,5,75,True,rock,70s
Girls Just Want to Have Fun,Cyndi Lauper,mellow gold,2007,121,85,71,-3,41,74,228,41,4,64,True,rock,00s
Girl on Fire,Alicia Keys,hip pop,2012,93,71,48,-6,11,14,225,14,6,77,True,pop,10s
Gimme Some Lovin' - Single Mix,The Spencer Davis Group,blues rock,1966,148,56,60,-6,28,43,179,22,3,64,True,rock,60s
Gimme More,Britney Spears,dance pop,2007,113,84,79,-3,7,38,251,25,3,80,True,pop,00s
Get the Party Started,P!nk,dance pop,2001,129,90,80,-3,17,96,193,0,5,69,True,pop,00s
Get a Job,The Silhouettes,doo-wop,1996,80,43,63,-10,12,83,170,65,4,48,True,r&b,90s
"Get Outta My Dreams, Get Into My Car",Billy Ocean,disco,2010,117,91,67,-6,34,92,284,9,4,62,False,disco,10s
Get It On,T. Rex,art rock,1971,127,88,73,-7,61,91,263,18,6,70,True,rock,70s
Georgy Girl,The Seekers,adult standards,1989,154,50,52,-7,18,65,140,27,3,57,True,adult standards,80s
Georgia on My Mind - Original Master Recording,Ray Charles,adult standards,1960,180,40,14,-9,19,30,217,78,3,58,True,adult standards,60s
Genie In a Bottle,Christina Aguilera,dance pop,1999,176,80,63,-7,14,91,218,21,17,72,True,pop,90s
Gangsta's Paradise,Coolio,g funk,1995,80,51,65,-10,40,39,241,7,6,85,True,funk,90s
Galway Girl,Ed Sheeran,pop,2017,100,88,62,-3,33,78,171,7,10,79,True,pop,10s
Fuck You,CeeLo Green,atl hip hop,2010,127,88,69,-4,12,75,224,19,6,64,True,hip hop,10s
Friday On My Mind,The Easybeats,australian rock,1965,95,99,37,-1,9,51,163,38,8,59,True,rock,60s
Friday I'm In Love,The Cure,new wave,1992,136,76,53,-13,36,51,215,0,3,75,True,wave,90s
Freedom! '90 - Remastered,George Michael,soft rock,2017,92,85,68,-11,6,93,391,23,5,70,True,rock,10s
Free Fallin',Tom Petty,album rock,1989,84,45,62,-13,6,57,256,21,3,78,True,rock,80s
Forever In Blue Jeans,Neil Diamond,adult standards,1978,91,39,71,-14,9,84,218,2,3,65,True,adult standards,70s
Forever,Chris Brown,dance pop,2008,120,82,67,-4,18,44,279,4,5,75,True,pop,00s
For Once In My Life,Stevie Wonder,funk,1968,110,52,52,-12,52,85,170,20,4,72,True,funk,60s
"Footloose - From ""Footloose"" Soundtrack",Kenny Loggins,album rock,1984,174,91,58,-6,6,65,227,10,7,71,True,rock,80s
Follow You Follow Me - Remastered 2007,Genesis,album rock,1978,94,75,53,-9,7,76,241,15,3,63,True,rock,70s
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,dance pop,2015,148,62,38,-7,11,48,209,31,5,73,True,pop,10s
Flashdance...What a Feeling - Radio Edit,Irene Cara,disco,1983,122,65,57,-7,9,40,237,1,3,75,False,disco,80s
Firework,Katy Perry,dance pop,2010,124,83,64,-5,11,65,228,14,5,72,True,pop,10s
Fireflies,Owl City,indietronica,2009,180,66,51,-7,12,47,228,3,4,79,True,indie,00s
Fire and Rain - 2019 Remaster,James Taylor,adult standards,1970,76,27,60,-17,9,34,204,77,4,72,True,adult standards,70s
Finally,CeCe Peniston,diva house,1992,120,66,79,-11,5,84,245,1,4,65,True,dance,90s
Fight Song,Rachel Platten,dance pop,2016,176,71,56,-5,16,33,204,5,13,78,True,pop,10s
Fever,Peggy Lee,adult standards,1988,137,9,74,-19,11,35,201,9,16,59,True,adult standards,80s
Ferry Cross the Mersey - Stereo; 1997 Remaster,Gerry & The Pacemakers,adult standards,1965,105,29,40,-11,12,61,144,55,3,56,True,adult standards,60s
Fernando,ABBA,europop,1976,111,54,35,-9,8,43,253,63,3,68,True,pop,70s
Fergalicious,Fergie,dance pop,2006,129,58,91,-8,13,83,292,6,32,64,True,pop,00s
Fantasy,Mariah Carey,dance pop,1995,102,73,67,-8,12,81,243,14,4,75,True,pop,90s
Family Affair,Mary J. Blige,dance pop,2001,93,55,91,-4,9,97,266,13,4,74,True,pop,00s
Fame,Irene Cara,disco,1980,131,73,70,-9,13,96,316,13,3,64,False,disco,80s
Faith - Remastered,George Michael,soft rock,1987,96,48,89,-12,7,61,193,1,12,59,True,rock,80s
Fading Like A Flower (Every Time You Leave),Roxette,europop,1991,105,67,61,-6,22,32,231,20,3,64,True,pop,90s
FRIENDS,Marshmello,brostep,2018,95,88,63,-2,13,53,203,21,5,79,True,dance,10s
Everywhere - 2017 Remaster,Fleetwood Mac,album rock,1987,115,49,73,-11,9,73,227,26,3,77,True,rock,80s
Everytime We Touch,Cascada,bubblegum dance,2010,142,98,63,-5,38,49,197,0,5,73,True,dance,10s
Everything I Own,Bread,adult standards,1972,79,34,37,-13,10,45,187,74,3,69,True,adult standards,70s
Everyday People,Sly & The Family Stone,classic rock,1969,115,50,81,-11,4,77,142,31,3,65,True,rock,60s
Everyday,Buddy Holly,adult standards,1958,136,22,75,-13,11,50,129,58,4,65,True,adult standards,50s
"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,art rock,1968,125,35,44,-16,42,68,164,34,4,68,True,rock,60s
Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,108,85,73,-4,27,61,225,4,4,74,False,boy band,90s
Every Little Thing She Does Is Magic,The Police,album rock,1981,82,77,56,-10,12,43,261,12,3,74,True,rock,80s
Every Breath You Take,The Police,album rock,2017,117,48,82,-9,8,72,252,56,3,70,True,rock,10s
Everlasting Love,Love Affair,brill building pop,2012,121,60,50,-10,49,81,182,26,4,48,True,pop,10s
Eternal Flame,The Bangles,album rock,2004,79,36,53,-7,9,40,238,53,2,68,True,rock,00s
Endless Love,Lionel Richie,adult standards,1992,93,27,48,-12,14,18,267,87,3,71,True,adult standards,90s
Empire State Of Mind,JAY-Z,east coast hip hop,2009,174,96,49,-2,46,81,277,3,39,81,True,hip hop,00s
Eight Days A Week - Remastered 2009,The Beatles,beatlesque,1964,138,58,65,-8,12,74,164,41,4,65,True,rock,60s
Ebony And Ivory - Remixed 2015,Paul McCartney,album rock,1982,161,69,57,-8,3,71,226,8,4,60,True,rock,80s
Easy Lover,Philip Bailey,yacht rock,1985,129,70,75,-13,8,94,305,7,4,68,True,rock,80s
Easy,Commodores,adult standards,1995,132,43,58,-14,7,35,261,23,3,62,True,adult standards,90s
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,81,True,pop,10s
Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2017,180,44,26,-7,11,10,239,10,4,80,True,pop,10s
Dreams,Gabrielle,british soul,1993,99,47,75,-14,22,57,223,17,4,67,True,soul,90s
Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,adult standards,1957,148,13,39,-18,9,25,223,92,4,60,True,adult standards,50s
Dream Lover,Bobby Darin,adult standards,2004,132,77,53,-2,44,72,151,72,5,60,True,adult standards,00s
Dream A Little Dream Of Me,Louis Armstrong,adult standards,1968,93,24,46,-16,21,40,195,52,7,63,True,adult standards,60s
Drag Me Down,One Direction,boy band,2015,138,70,73,-6,7,60,192,11,4,80,False,boy band,10s
Downtown,Petula Clark,adult standards,2003,117,69,48,-8,15,60,188,78,6,58,True,adult standards,00s
Down,Jay Sean,dance pop,2009,132,68,73,-4,8,73,213,1,3,79,True,pop,00s
Don't You Want Me,The Human League,art rock,1981,118,74,73,-8,21,96,237,18,4,75,True,rock,80s
Don't You (Forget About Me) - 2001 Mix,Simple Minds,art rock,2013,111,79,67,-7,30,68,261,9,3,73,True,rock,10s
Don't Worry Baby - Remastered 2001,The Beach Boys,baroque pop,1964,121,46,49,-10,11,85,170,7,3,64,True,pop,60s
Don't Stop The Music,Rihanna,barbadian pop,2008,123,67,84,-6,5,54,267,3,6,78,True,pop,00s
Don't Stop Believin',Journey,album rock,2001,119,80,49,-7,39,47,249,25,4,73,True,rock,00s
Don't Stand So Close To Me,The Police,album rock,1980,140,51,80,-9,4,52,243,5,6,69,True,rock,80s
Don't Speak,No Doubt,alternative rock,1995,76,71,52,-7,16,57,263,24,4,73,True,rock,90s
Don't Let the Sun Go Down on Me,George Michael,soft rock,1998,136,55,43,-8,47,25,347,50,3,57,True,rock,90s
Don't Leave Me This Way (with Sarah Jane Morris),The Communards,hi-nrg,1986,132,93,64,-6,13,90,271,14,3,68,True,dance,80s
Don't It Make My Brown Eyes Blue,Crystal Gayle,adult standards,2007,84,49,68,-8,11,35,158,71,4,50,True,adult standards,00s
Don't Go Breaking My Heart,Elton John,glam rock,1975,131,84,73,-9,6,78,275,15,3,78,True,rock,70s
Don't Get Me Wrong - 2007 Remaster,Pretenders,album rock,1986,204,93,46,-6,11,85,227,14,5,65,True,rock,80s
Don't Dream It's Over,Crowded House,australian rock,1986,82,75,45,-7,8,36,238,1,4,67,True,rock,80s
Don't Cha,The Pussycat Dolls,dance pop,2005,120,63,88,-3,13,55,272,1,10,73,True,pop,00s
Don't Bring Me Down,Electric Light Orchestra,album rock,1979,116,87,64,-6,8,81,243,14,3,72,True,rock,70s
Don't Be Cruel,Elvis Presley,rock-and-roll,1958,85,55,70,-11,9,84,123,86,18,58,True,rock,50s
Domino,Jessie J,dance pop,2011,127,56,76,-5,4,78,232,1,3,74,True,pop,10s
Dog Days Are Over,Florence + The Machine,baroque pop,2009,150,81,50,-5,12,26,253,3,9,77,True,pop,00s
Do You Really Want To Hurt Me,Culture Club,disco,1982,101,38,74,-15,11,42,262,8,4,66,False,disco,80s
Do You Love Me - Mono Single,The Contours,brill building pop,1962,150,79,60,-7,11,80,173,59,4,65,True,pop,60s
Do You Know the Way to San Jose,Dionne Warwick,adult standards,1968,157,66,66,-8,8,89,179,59,5,51,True,adult standards,60s
Do You Believe in Magic?,The Lovin' Spoonful,brill building pop,1965,139,74,55,-8,34,76,126,21,5,69,True,pop,60s
Do Wah Diddy Diddy,Manfred Mann,brill building pop,1964,125,56,66,-8,6,96,143,26,5,56,True,pop,60s
Do It Again,Steely Dan,album rock,1972,125,54,68,-10,6,96,357,22,3,70,True,rock,70s
Disturbia,Rihanna,barbadian pop,2008,125,81,71,-5,17,72,239,9,6,79,True,pop,00s
Dirrty (feat. Redman),Christina Aguilera,dance pop,2002,100,89,64,-3,34,44,299,11,32,70,True,pop,00s
Different Drum,Stone Poneys,adult standards,1967,123,39,46,-12,5,61,160,35,3,58,True,adult standards,60s
Diana,Paul Anka,adult standards,1966,143,58,55,-8,80,92,141,76,3,56,True,adult standards,60s
Delilah - Live,Tom Jones,adult standards,1969,185,61,28,-14,79,75,215,27,16,27,True,adult standards,60s
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,adult standards,1975,104,50,74,-13,5,97,197,6,3,72,True,adult standards,70s
Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,74,True,pop,10s
"De Do Do Do, De Da Da Da",The Police,album rock,1980,148,52,78,-9,24,86,247,6,5,65,True,rock,80s
Daydream Believer,The Monkees,beatlesque,1968,126,49,51,-10,11,65,180,26,3,68,True,rock,60s
Daniel,Elton John,glam rock,1973,132,48,69,-12,9,90,235,38,3,67,True,rock,70s
Dancing in the Moonlight,Toploader,british alternative rock,2000,119,86,63,-3,35,87,233,6,3,75,True,rock,00s
Dancing With A Stranger (with Normani),Sam Smith,dance pop,2019,103,52,74,-8,22,35,171,45,7,78,True,pop,10s
Dancing Queen,ABBA,europop,1976,101,87,54,-7,79,75,230,36,4,81,True,pop,70s
Dancing On The Ceiling,Lionel Richie,adult standards,1986,133,77,70,-9,39,73,271,12,5,70,True,adult standards,80s
Dancing On My Own,Robyn,art pop,2010,117,86,67,-5,9,28,286,6,3,64,True,pop,10s
Dancing In the Dark,Bruce Springsteen,classic rock,1984,149,94,53,-6,19,50,241,1,4,78,True,rock,80s
Dancing In The Street - Stereo,Martha Reeves & The Vandellas,brill building pop,1965,126,57,56,-9,20,30,165,1,4,68,True,pop,60s
Da Doo Ron Ron (When He Walked Me Home),The Crystals,adult standards,2011,149,80,54,-8,14,61,140,48,5,55,True,adult standards,10s
C’Mon Everybody,Eddie Cochran,adult standards,1960,175,70,63,-10,19,86,118,12,5,59,True,adult standards,60s
Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes,dance pop,2007,80,68,58,-5,29,82,237,50,8,60,True,pop,00s
Cupid,Sam Cooke,adult standards,2003,120,48,47,-9,8,83,159,48,3,54,True,adult standards,00s
Crush,David Archuleta,dance pop,2008,162,66,57,-5,7,49,214,1,3,69,True,pop,00s
Crocodile Rock,Elton John,glam rock,1973,150,80,62,-7,6,97,235,3,3,72,True,rock,70s
Crazy Little Thing Called Love - Remastered 2011,Queen,classic rock,1980,77,76,60,-7,35,71,163,71,4,75,True,rock,80s
Crazy In Love (feat. Jay-Z),Beyoncé,dance pop,2003,99,77,65,-7,7,68,236,0,23,77,True,pop,00s
Crazy - Single Version,Patsy Cline,adult standards,1961,108,2,47,-24,10,36,165,93,4,67,True,adult standards,60s
Cracklin' Rosie - Single Version,Neil Diamond,adult standards,1970,128,50,56,-15,16,85,180,32,3,64,True,adult standards,70s
Counting Stars,OneRepublic,dance pop,2013,122,71,66,-5,12,48,257,7,4,83,True,pop,10s
Copacabana (At the Copa),Barry Manilow,adult standards,2007,108,67,76,-8,10,80,241,54,4,56,True,adult standards,00s
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,69,63,213,18,5,75,True,pop,10s
Complicated,Avril Lavigne,canadian pop,2002,78,78,59,-6,30,43,245,6,5,78,True,pop,00s
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,dance pop,1999,119,92,83,-3,25,78,203,23,11,65,True,pop,90s
Come Softly To Me,The Fleetwoods,adult standards,1993,123,10,60,-18,12,67,145,93,4,56,True,adult standards,90s
Come Fly With Me - Remastered,Frank Sinatra,adult standards,1958,67,34,57,-11,17,49,199,85,4,69,True,adult standards,50s
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93,80,61,-5,16,50,185,7,4,70,True,pop,10s
Cold (feat. Future),Maroon 5,pop,2018,100,72,69,-6,5,41,234,14,11,75,True,pop,10s
Closer,The Chainsmokers,dance pop,2016,95,52,75,-6,11,66,245,41,3,85,True,pop,10s
Classic,MKTO,dance pop,2012,102,79,72,-5,16,76,175,4,12,84,True,pop,10s
Circus,Britney Spears,dance pop,2008,115,73,79,-5,7,76,192,15,5,75,True,pop,00s
"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,glam rock,1994,161,39,30,-15,11,14,292,26,3,55,True,rock,90s
Cheek To Cheek,Ella Fitzgerald,adult standards,1997,122,26,66,-15,10,66,355,71,9,67,True,adult standards,90s
Chasing Pavements,Adele,british soul,2008,80,47,62,-6,11,33,211,29,3,76,True,soul,00s
Chantilly Lace,The Big Bopper,rock-and-roll,1958,172,81,49,-6,7,94,145,84,9,56,True,rock,50s
Change the World,Eric Clapton,album rock,1999,97,56,72,-9,11,54,235,49,2,65,True,rock,90s
Chances Are - Single Version,Johnny Mathis,adult standards,1956,78,25,31,-12,11,30,181,90,3,50,True,adult standards,50s
Chain of Fools,Aretha Franklin,classic soul,1968,117,57,72,-10,47,91,167,22,4,63,True,soul,60s
Celebration,Kool & The Gang,disco,1980,122,66,89,-12,8,91,299,14,5,71,False,disco,80s
Cecilia,Simon & Garfunkel,classic rock,1970,103,88,76,-9,22,95,175,36,4,73,True,rock,70s
Cathy's Clown - 2007 Remaster,The Everly Brothers,adult standards,1960,120,56,51,-10,59,89,146,55,4,52,True,adult standards,60s
Castle on the Hill,Ed Sheeran,pop,2017,135,83,46,-5,14,47,261,2,10,79,True,pop,10s
Can't Get You out of My Head,Kylie Minogue,australian dance,2001,126,56,77,-8,12,96,231,3,3,75,True,dance,00s
Can't Fight This Feeling,REO Speedwagon,album rock,1984,156,48,41,-11,9,19,295,16,3,73,True,rock,80s
Can You Feel The Love Tonight - Remastered,Elton John,glam rock,2017,125,38,30,-8,10,12,242,80,3,63,True,rock,10s
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,78,-7,11,66,193,1,4,79,True,pop,10s
California Dreamin' - Single Version,The Mamas & The Papas,brill building pop,1966,112,61,55,-10,5,64,162,35,3,77,True,pop,60s
C'est La Vie,B*Witched,bubblegum dance,1998,109,94,71,-5,5,94,174,10,3,62,True,dance,90s
Bye Bye Love,The Everly Brothers,adult standards,1964,170,52,55,-9,10,89,143,72,6,61,True,adult standards,60s
Bye Bye Bye,*NSYNC,boy band,2005,173,87,57,-4,6,81,200,2,6,55,False,boy band,00s
Bus Stop,The Hollies,album rock,1978,136,70,60,-9,9,79,175,10,3,54,True,rock,70s
Burning Love,Elvis Presley,rock-and-roll,1973,144,75,66,-11,28,97,170,10,3,69,True,rock,70s
Buona Sera - Remastered,Louis Prima,adult standards,1991,98,30,55,-14,7,81,187,78,11,52,True,adult standards,90s
Bulletproof,La Roux,alternative dance,2009,123,88,67,-3,7,68,206,0,5,72,True,dance,00s
Bubbly,Colbie Caillat,dance pop,2007,128,48,69,-7,12,26,196,59,4,74,True,pop,00s
Brown Sugar - 2009 Remaster,The Rolling Stones,british invasion,1971,129,93,63,-4,6,96,229,22,3,70,True,rock,70s
Brown Eyed Girl,Van Morrison,classic rock,1967,151,58,49,-11,41,91,183,19,4,79,True,rock,60s
Broken Wings,Mr. Mister,album rock,1985,99,50,29,-14,11,44,344,13,4,71,True,rock,80s
Broken Hearted Melody,Sarah Vaughan,adult standards,1958,133,54,45,-10,19,75,143,80,4,57,True,adult standards,50s
Bring It All Back,S Club 7,bubblegum dance,1999,108,90,68,-5,37,87,214,33,5,65,True,dance,90s
Bridge Over Troubled Water,Simon & Garfunkel,classic rock,1970,80,21,15,-14,12,26,293,82,3,71,True,rock,70s
Breathless,The Corrs,celtic rock,2000,127,82,61,-8,27,77,208,5,6,69,True,rock,00s
Breaking Up Is Hard to Do,Neil Sedaka,adult standards,2003,117,67,74,-8,7,96,136,79,4,50,True,adult standards,00s
Breakfast At Tiffany's,Deep Blue Something,pop rock,1995,110,83,62,-6,10,54,257,11,3,71,True,rock,90s
Breakeven,The Script,celtic rock,2008,94,70,63,-5,8,49,261,14,2,74,True,rock,00s
Break Your Heart,Taio Cruz,dance pop,2010,122,93,61,-4,9,57,202,3,3,75,True,pop,10s
Both Sides Now,Judy Collins,american folk revival,2017,59,30,35,-9,10,30,196,41,3,37,True,folk,10s
Both Sides Now,Joni Mitchell,canadian singer-songwriter,1969,97,16,62,-15,14,33,275,91,3,57,False,canadian singer-songwriter,60s
Born to Run,Bruce Springsteen,classic rock,1975,146,94,27,-4,12,61,270,1,10,71,True,rock,70s
Born in the U.S.A.,Bruce Springsteen,classic rock,1984,122,95,40,-6,10,58,279,0,6,75,True,rock,80s
Born Too Late,The Poni-Tails,classic girl group,1958,85,28,55,-10,12,79,139,82,3,37,True,girl group,50s
Bootylicious,Destiny's Child,dance pop,2001,103,84,84,-4,15,64,208,0,28,65,True,pop,00s
Boom Boom Pow,Black Eyed Peas,dance pop,2009,130,86,87,-6,13,40,251,13,7,69,True,pop,00s
Bo Diddley,Bo Diddley,blues,1958,106,70,81,-12,18,56,149,18,6,54,True,blues,50s
Blueberry Hill,Fats Domino,adult standards,1959,133,50,49,-10,16,83,148,74,3,62,True,adult standards,50s
Blue Suede Shoes,Elvis Presley,rock-and-roll,1956,95,66,56,-8,14,96,119,65,6,63,True,rock,50s
Blue Suede Shoes,Carl Perkins,rock-and-roll,1957,169,67,55,-7,34,97,134,45,4,55,True,rock,50s
Blue Skies,Ella Fitzgerald,adult standards,1959,79,28,61,-10,10,60,226,84,7,54,True,adult standards,50s
Blue Moon,Billie Holiday,adult standards,1956,125,27,64,-11,14,54,208,98,7,65,True,adult standards,50s
Bleeding Love,Leona Lewis,british soul,2007,104,66,64,-6,15,23,262,19,4,77,True,soul,00s
Blank Space,Taylor Swift,pop,2014,96,68,75,-5,13,58,232,9,6,66,True,pop,10s
Black or White - Single Version,Michael Jackson,pop,2005,115,89,74,-4,9,96,203,8,5,63,True,pop,00s
Black Velvet,Alannah Myles,classic canadian rock,1989,91,37,75,-10,11,47,287,27,3,71,True,rock,80s
Black Magic,Little Mix,dance pop,2015,112,88,78,-6,31,85,212,3,6,76,True,pop,10s
Bitch,Meredith Brooks,lilith,1997,96,89,62,-6,5,63,253,1,6,68,False,lilith,90s
Billie Jean,Michael Jackson,pop,1982,117,65,92,-3,4,85,294,2,4,84,True,pop,80s
Big Yellow Taxi,Joni Mitchell,canadian singer-songwriter,1970,86,47,61,-9,58,97,135,58,4,69,False,canadian singer-songwriter,70s
Big Girls Don't Cry (Personal),Fergie,dance pop,2006,113,64,71,-4,9,25,268,21,3,60,True,pop,00s
Beyond the Sea,Bobby Darin,adult standards,1959,136,52,52,-7,26,57,172,72,4,69,True,adult standards,50s
Bette Davis Eyes,Kim Carnes,new wave pop,1981,117,65,68,-10,10,60,228,2,3,72,True,pop,80s
Best of My Love,The Emotions,chicago soul,1977,115,71,78,-7,9,97,221,45,3,69,True,soul,70s
Bennie And The Jets - Remastered 2014,Elton John,glam rock,1973,133,67,67,-8,50,78,323,26,5,74,True,rock,70s
Believe,Cher,dance pop,1998,133,92,65,-7,5,46,239,1,5,77,True,pop,90s
Because of You,Kelly Clarkson,dance pop,2012,140,58,58,-5,20,12,220,24,3,57,True,pop,10s
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,canadian pop,1996,120,47,62,-10,10,18,274,31,3,74,True,pop,90s
Because Of You,Ne-Yo,dance pop,2007,110,54,81,-6,10,83,267,53,4,74,True,pop,00s
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",Céline Dion,canadian pop,1992,77,40,46,-10,13,12,249,64,3,66,True,pop,90s
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,64,-8,8,55,198,12,19,78,True,pop,10s
Beautiful Girls,Sean Kingston,dance pop,2014,118,64,54,-7,24,75,242,14,9,56,True,pop,10s
Be-Bop-A-Lula,Gene Vincent & His Blue Caps,rock-and-roll,1996,128,56,61,-10,30,84,157,42,4,45,True,rock,90s
Be With You,Enrique Iglesias,dance pop,1999,122,87,69,-5,3,56,220,4,3,58,True,pop,90s
Be My Baby,The Ronettes,brill building pop,1964,130,77,51,-7,9,80,161,17,4,64,True,pop,60s
Be Alright,Dean Lewis,australian pop,2018,127,59,55,-6,8,44,196,70,4,81,True,pop,10s
Bang Bang,Jessie J,dance pop,2014,150,75,70,-4,40,70,199,28,9,63,True,pop,10s
Band On The Run - Remastered 2010,Wings,album rock,1973,125,60,48,-9,11,67,313,8,3,71,True,rock,70s
Banana Boat (Day-O),Harry Belafonte,adult standards,1956,123,11,80,-17,11,42,183,89,10,70,True,adult standards,50s
Bad Romance,Lady Gaga,dance pop,2009,119,92,70,-4,8,71,295,0,4,82,True,pop,00s
Bad Moon Rising,Creedence Clearwater Revival,classic rock,1969,179,77,51,-6,6,94,142,6,3,78,True,rock,60s
Bad Blood,Taylor Swift,pop,2014,170,80,65,-6,15,30,212,9,18,69,True,pop,10s
Back for Good - Radio Mix,Take That,boy band,1995,79,50,60,-10,14,56,242,31,3,70,False,boy band,90s
Back To Black,Amy Winehouse,british soul,2006,123,42,40,-14,9,38,241,13,4,77,True,soul,00s
"Baby, I Love Your Way",Big Mountain,reggae,1994,148,75,65,-7,21,78,250,5,7,63,True,reggae,90s
"Baby, Baby",Amy Grant,christian alternative rock,1991,98,90,70,-4,4,92,237,43,3,60,True,rock,90s
Baby Love,The Supremes,brill building pop,1964,136,64,60,-9,54,73,158,76,4,67,True,pop,60s
Baby I Need Your Loving,Four Tops,adult standards,1965,121,69,63,-6,19,65,166,44,4,62,True,adult standards,60s
Baby (You've Got What It Takes),Dinah Washington,adult standards,1960,133,60,67,-9,65,81,166,85,6,61,True,adult standards,60s
Autumn In New York,Billie Holiday,adult standards,1956,72,10,59,-15,11,29,224,96,6,54,True,adult standards,50s
Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,81,True,pop,10s
At The Hop,Danny & The Juniors,brill building pop,1983,192,83,41,-8,28,89,151,69,5,56,True,pop,80s
